team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Manchester City,1,38,29,6,3,99,26,73,93,Pep Guardiola,Fernandinho,Etihad Stadium,Sergio Agüero,6,6,8
Liverpool,2,38,28,8,2,94,26,68,92,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,1,8,9
Chelsea,3,38,21,11,6,76,33,43,74,Thomas Tuchel,César Azpilicueta,Stamford Bridge,Frank Lampard,5,8,5
Tottenham Hotspur,4,38,22,5,11,69,40,29,71,Antonio Conte,Hugo Lloris,Tottenham Hotspur Stadium,Jimmy Greaves,0,8,4
Arsenal,5,38,22,3,13,61,48,13,69,Mikel Arteta,Alexandre Lacazette,Emirates Stadium,Thierry Henry,3,14,2
Manchester United,6,38,16,10,12,57,57,0,58,Ralf Rangnick,Harry Maguire,Old Trafford,Wayne Rooney,13,12,5
West Ham United,7,38,16,8,14,60,51,9,56,David Moyes,Mark Noble,London Stadium,Vic Walton,0,3,0
Leicester City,8,38,14,10,14,62,59,3,52,Brendan Rodgers,Kasper Schmeichel,King Power Stadium,Arthur Chandler,1,1,3
Brighton & Hove Albion,9,38,12,15,11,42,44,-2,51,Graham Potter,Lewis Dunk,Amex Stadium,Tommy Cook,0,0,0
Wolverhampton,10,38,15,6,17,38,43,-5,51,Bruno Lage,Conor Coady,Molineux Stadium,Steve Bull,0,4,2
Newcastle United,11,38,13,10,15,44,62,-18,49,Eddie Howe,Jamaal Lascelles,St James' Park,Alan Shearer,0,6,0
Crystal Palace,12,38,11,15,12,50,46,4,48,Patrick Vieira,Luka Milivojević,Selhurst Park,Peter Simpson,0,0,0
Brentford,13,38,13,7,18,48,56,-8,46,Thomas Frank,Pontus Jansson,Brentford Community Stadium,Jim Towers,0,0,0
Aston Villa,14,38,13,6,19,52,54,-2,45,Steven Gerrard,Tyrone Mings,Villa Park,Billy Walker,0,7,5
Southampton,15,38,9,13,16,43,67,-24,40,Ralph Hasenhüttl,James Ward-Prowse,St Mary's Stadium,Mick Channon,0,1,0
Everton,16,38,11,6,21,43,66,-23,39,Frank Lampard,Séamus Coleman,Goodison Park,Dixie Dean,0,5,0
Leeds United,17,38,9,11,18,42,79,-37,38,Jesse Marsch,Liam Cooper,Elland Road,Peter Lorimer,0,1,1
Burnley,18,38,7,14,17,34,53,-19,35,Mike Jackson,Ben Mee,Turf Moor,George Beel,0,1,0
Watford,19,38,6,5,27,34,77,-43,23,Roy Hodgson,Moussa Sissoko,Vicarage Road,Luther Blissett,0,0,0
Norwich City,20,38,5,7,26,23,84,-61,22,Dean Smith,Grant Hanley,Carrow Road,Johnny Gavin,0,0,2
